Reference;Customer;Ship To;BU;Element;Element Type;Date;Qtes
R07401;N.D;MCI;STE MCI;History;Original History;01/07/2018;10
REPARATION;N.D;MCI;STE MCI;History;Original History;01/07/2018;8
RT/F30B;N.D;MCI;STE MCI;History;Original History;01/07/2018;240
RT/F33F;N.D;MCI;STE MCI;History;Original History;01/07/2018;312
RUB50X1.5X1.5;N.D;MCI;STE MCI;History;Original History;01/07/2018;40
S-KMR-S-0.40MM;N.D;MCI;STE MCI;History;Original History;01/07/2018;1050
S-KMR-S-0.60MM;N.D;MCI;STE MCI;History;Original History;01/07/2018;450
S-KMR-S-0.80MM;N.D;MCI;STE MCI;History;Original History;01/07/2018;75
S02438001;N.D;MCI;STE MCI;History;Original History;01/07/2018;3
S080685017;N.D;MCI;STE MCI;History;Original History;01/07/2018;2
SA-1305;N.D;MCI;STE MCI;History;Original History;01/07/2018;20
SB60GR24X200B;N.D;MCI;STE MCI;History;Original History;01/07/2018;630
SB60GR30X200B;N.D;MCI;STE MCI;History;Original History;01/07/2018;315
SC11;N.D;MCI;STE MCI;History;Original History;01/07/2018;3
SC181;N.D;MCI;STE MCI;History;Original History;01/07/2018;10
SC39;N.D;MCI;STE MCI;History;Original History;01/07/2018;3
SH181;N.D;MCI;STE MCI;History;Original History;01/07/2018;10
SL-32/105;N.D;MCI;STE MCI;History;Original History;01/07/2018;20
SN05;N.D;MCI;STE MCI;History;Original History;01/07/2018;2
SN44;N.D;MCI;STE MCI;History;Original History;01/07/2018;2
SN46.380;N.D;MCI;STE MCI;History;Original History;01/07/2018;1
SQ01;N.D;MCI;STE MCI;History;Original History;01/07/2018;58
SQ29;N.D;MCI;STE MCI;History;Original History;01/07/2018;6
SR38;N.D;MCI;STE MCI;History;Original History;01/07/2018;2
SR42;N.D;MCI;STE MCI;History;Original History;01/07/2018;2
SR43;N.D;MCI;STE MCI;History;Original History;01/07/2018;2
SR45;N.D;MCI;STE MCI;History;Original History;01/07/2018;2
SRP-G;N.D;MCI;STE MCI;History;Original History;01/07/2018;500
SS8080310TP;N.D;MCI;STE MCI;History;Original History;01/07/2018;20
SS8080410TP;N.D;MCI;STE MCI;History;Original History;01/07/2018;30
ST16;N.D;MCI;STE MCI;History;Original History;01/07/2018;12
ST18;N.D;MCI;STE MCI;History;Original History;01/07/2018;6
SU16;N.D;MCI;STE MCI;History;Original History;01/07/2018;14
SU17;N.D;MCI;STE MCI;History;Original History;01/07/2018;19
SX110.C;N.D;MCI;STE MCI;History;Original History;01/07/2018;2
SX22;N.D;MCI;STE MCI;History;Original History;01/07/2018;85
SX25;N.D;MCI;STE MCI;History;Original History;01/07/2018;8
SX27;N.D;MCI;STE MCI;History;Original History;01/07/2018;2
SY01GG;N.D;MCI;STE MCI;History;Original History;01/07/2018;2
SY31;N.D;MCI;STE MCI;History;Original History;01/07/2018;2
T484-0.55-BLANC;N.D;MCI;STE MCI;History;Original History;01/07/2018;274.5
T484-0.55-MAR;N.D;MCI;STE MCI;History;Original History;01/07/2018;228
T484-0.55-SAHARA;N.D;MCI;STE MCI;History;Original History;01/07/2018;750
T696-1.00;N.D;MCI;STE MCI;History;Original History;01/07/2018;150
T696-1.75;N.D;MCI;STE MCI;History;Original History;01/07/2018;1012.5
T696-2.00;N.D;MCI;STE MCI;History;Original History;01/07/2018;10.5
T96-N;N.D;MCI;STE MCI;History;Original History;01/07/2018;60
T97-2.00-BEI;N.D;MCI;STE MCI;History;Original History;01/07/2018;157.5
TAGS-15MM;N.D;MCI;STE MCI;History;Original History;01/07/2018;1
TC800;N.D;MCI;STE MCI;History;Original History;01/07/2018;30
TC801-WK;N.D;MCI;STE MCI;History;Original History;01/07/2018;8
TNT100NAD;N.D;MCI;STE MCI;History;Original History;01/07/2018;225
TNT70GRX200;N.D;MCI;STE MCI;History;Original History;01/07/2018;400
TNT70GRX200B;N.D;MCI;STE MCI;History;Original History;01/07/2018;400
U100C1-10000;N.D;MCI;STE MCI;History;Original History;01/07/2018;50
U100C9-10000;N.D;MCI;STE MCI;History;Original History;01/07/2018;30
VGC250F800A00;N.D;MCI;STE MCI;History;Original History;01/07/2018;556
Z-27/880/100;N.D;MCI;STE MCI;History;Original History;01/07/2018;560
16964;N.D;MCI;STE MCI;History;Original History;01/06/2018;50
16965;N.D;MCI;STE MCI;History;Original History;01/06/2018;55
1001567;N.D;MCI;STE MCI;History;Original History;01/06/2018;1
1050000001;N.D;MCI;STE MCI;History;Original History;01/06/2018;40
2000312;N.D;MCI;STE MCI;History;Original History;01/06/2018;20
2100602110;N.D;MCI;STE MCI;History;Original History;01/06/2018;510
025CA;N.D;MCI;STE MCI;History;Original History;01/06/2018;4
109;N.D;MCI;STE MCI;History;Original History;01/06/2018;10
111003014201F;N.D;MCI;STE MCI;History;Original History;01/06/2018;200
1113222315000B;N.D;MCI;STE MCI;History;Original History;01/06/2018;24
1133096215000B;N.D;MCI;STE MCI;History;Original History;01/06/2018;50
115059013101F;N.D;MCI;STE MCI;History;Original History;01/06/2018;36
1,2116E+11;N.D;MCI;STE MCI;History;Original History;01/06/2018;55.77
134-35SAN12S/120GB;N.D;MCI;STE MCI;History;Original History;01/06/2018;2000
134-35SAN5/120GB;N.D;MCI;STE MCI;History;Original History;01/06/2018;500
134-35SAN5/130GB;N.D;MCI;STE MCI;History;Original History;01/06/2018;500
134LR/80GB;N.D;MCI;STE MCI;History;Original History;01/06/2018;200
134LR/90GB;N.D;MCI;STE MCI;History;Original History;01/06/2018;900
138153023001F;N.D;MCI;STE MCI;History;Original History;01/06/2018;300
1,46501E+12;N.D;MCI;STE MCI;History;Original History;01/06/2018;23
149515035501F;N.D;MCI;STE MCI;History;Original History;01/06/2018;12
181/R;N.D;MCI;STE MCI;History;Original History;01/06/2018;6
1C-250;N.D;MCI;STE MCI;History;Original History;01/06/2018;3750
1ET000001;N.D;MCI;STE MCI;History;Original History;01/06/2018;12
200-SR/75;N.D;MCI;STE MCI;History;Original History;01/06/2018;70
2000;N.D;MCI;STE MCI;History;Original History;01/06/2018;20
21;N.D;MCI;STE MCI;History;Original History;01/06/2018;30
21334800;N.D;MCI;STE MCI;History;Original History;01/06/2018;70
2350N2000;N.D;MCI;STE MCI;History;Original History;01/06/2018;48
2415;N.D;MCI;STE MCI;History;Original History;01/06/2018;1188
245-1660A;N.D;MCI;STE MCI;History;Original History;01/06/2018;700
2881-8X9X8MM;N.D;MCI;STE MCI;History;Original History;01/06/2018;200
295;N.D;MCI;STE MCI;History;Original History;01/06/2018;90
2SL/55/12C;N.D;MCI;STE MCI;History;Original History;01/06/2018;450
2SL/58/12;N.D;MCI;STE MCI;History;Original History;01/06/2018;600
2SL/65/12C;N.D;MCI;STE MCI;History;Original History;01/06/2018;650
3,0816E+11;N.D;MCI;STE MCI;History;Original History;01/06/2018;29.2
316.13AD;N.D;MCI;STE MCI;History;Original History;01/06/2018;99
3,30162E+11;N.D;MCI;STE MCI;History;Original History;01/06/2018;45
330H-W;N.D;MCI;STE MCI;History;Original History;01/06/2018;7
330H-W_EX;N.D;MCI;STE MCI;History;Original History;01/06/2018;23
340606;N.D;MCI;STE MCI;History;Original History;01/06/2018;86
38694;N.D;MCI;STE MCI;History;Original History;01/06/2018;50
38696;N.D;MCI;STE MCI;History;Original History;01/06/2018;20
4.0017.00;N.D;MCI;STE MCI;History;Original History;01/06/2018;1
4151;N.D;MCI;STE MCI;History;Original History;01/06/2018;10
43014;N.D;MCI;STE MCI;History;Original History;01/06/2018;36
43017;N.D;MCI;STE MCI;History;Original History;01/06/2018;55
43033;N.D;MCI;STE MCI;History;Original History;01/06/2018;8
48100AB2;N.D;MCI;STE MCI;History;Original History;01/06/2018;540
48100AT;N.D;MCI;STE MCI;History;Original History;01/06/2018;108
48100MLN;N.D;MCI;STE MCI;History;Original History;01/06/2018;288
48KST04536;N.D;MCI;STE MCI;History;Original History;01/06/2018;144
5.9850.00;N.D;MCI;STE MCI;History;Original History;01/06/2018;1
532-10734/1;N.D;MCI;STE MCI;History;Original History;01/06/2018;2
532-26E/2;N.D;MCI;STE MCI;History;Original History;01/06/2018;21
532-83;N.D;MCI;STE MCI;History;Original History;01/06/2018;4
5701030;N.D;MCI;STE MCI;History;Original History;01/06/2018;35
5ST000070BSO;N.D;MCI;STE MCI;History;Original History;01/06/2018;525
6.4967.00;N.D;MCI;STE MCI;History;Original History;01/06/2018;2
60.5;N.D;MCI;STE MCI;History;Original History;01/06/2018;3
60456/EXO;N.D;MCI;STE MCI;History;Original History;01/06/2018;4
628.25AS;N.D;MCI;STE MCI;History;Original History;01/06/2018;45
660473;N.D;MCI;STE MCI;History;Original History;01/06/2018;10
661023;N.D;MCI;STE MCI;History;Original History;01/06/2018;3
700021;N.D;MCI;STE MCI;History;Original History;01/06/2018;240
7117000214000B;N.D;MCI;STE MCI;History;Original History;01/06/2018;2
80.5;N.D;MCI;STE MCI;History;Original History;01/06/2018;1
8010318;N.D;MCI;STE MCI;History;Original History;01/06/2018;1
91-119283-01;N.D;MCI;STE MCI;History;Original History;01/06/2018;18
9101093705000B;N.D;MCI;STE MCI;History;Original History;01/06/2018;10
9105619225000B;N.D;MCI;STE MCI;History;Original History;01/06/2018;1
9111915905000B;N.D;MCI;STE MCI;History;Original History;01/06/2018;4
9111916091000B;N.D;MCI;STE MCI;History;Original History;01/06/2018;1
91119444044.3;N.D;MCI;STE MCI;History;Original History;01/06/2018;110
9,11195E+12;N.D;MCI;STE MCI;History;Original History;01/06/2018;1
9,11197E+12;N.D;MCI;STE MCI;History;Original History;01/06/2018;1
9111979511000B;N.D;MCI;STE MCI;History;Original History;01/06/2018;1
9111993412000B;N.D;MCI;STE MCI;History;Original History;01/06/2018;2
9115067125000B;N.D;MCI;STE MCI;History;Original History;01/06/2018;3
9116430393001B;N.D;MCI;STE MCI;History;Original History;01/06/2018;2
9116758605000B;N.D;MCI;STE MCI;History;Original History;01/06/2018;2
9117509905000B;N.D;MCI;STE MCI;History;Original History;01/06/2018;5
9126327171895B;N.D;MCI;STE MCI;History;Original History;01/06/2018;4
9913719205000B;N.D;MCI;STE MCI;History;Original History;01/06/2018;42
ADRI.ETRP;N.D;MCI;STE MCI;History;Original History;01/06/2018;300
ADRI.ETRR;N.D;MCI;STE MCI;History;Original History;01/06/2018;400
ADRI.ETRW;N.D;MCI;STE MCI;History;Original History;01/06/2018;2000
ADRI.PIN6F;N.D;MCI;STE MCI;History;Original History;01/06/2018;5
ADRI.PIN6P;N.D;MCI;STE MCI;History;Original History;01/06/2018;12
ADRI.POTCOLLE;N.D;MCI;STE MCI;History;Original History;01/06/2018;2
ADRI.POTCOLLE0.4;N.D;MCI;STE MCI;History;Original History;01/06/2018;2
ADRI.SILVER;N.D;MCI;STE MCI;History;Original History;01/06/2018;1000
AE-910/18;N.D;MCI;STE MCI;History;Original History;01/06/2018;5
APLICAFILM;N.D;MCI;STE MCI;History;Original History;01/06/2018;2
ART.511;N.D;MCI;STE MCI;History;Original History;01/06/2018;4
B/1111;N.D;MCI;STE MCI;History;Original History;01/06/2018;1
B/IR040;N.D;MCI;STE MCI;History;Original History;01/06/2018;1
B/IR050;N.D;MCI;STE MCI;History;Original History;01/06/2018;1
B40C1147-5000;N.D;MCI;STE MCI;History;Original History;01/06/2018;72
B40C1329-5000;N.D;MCI;STE MCI;History;Original History;01/06/2018;12
B40C2001-5000;N.D;MCI;STE MCI;History;Original History;01/06/2018;264
B40C2036-5000;N.D;MCI;STE MCI;History;Original History;01/06/2018;48
B40C2037-5000;N.D;MCI;STE MCI;History;Original History;01/06/2018;12
B40C2044-5000;N.D;MCI;STE MCI;History;Original History;01/06/2018;144
B40C2089-5000;N.D;MCI;STE MCI;History;Original History;01/06/2018;24
BC-DBZ1-NBL6;N.D;MCI;STE MCI;History;Original History;01/06/2018;10
BC-HR4-NBL6;N.D;MCI;STE MCI;History;Original History;01/06/2018;12
BD-19X2;N.D;MCI;STE MCI;History;Original History;01/06/2018;960
BE-19X2;N.D;MCI;STE MCI;History;Original History;01/06/2018;800
BIAD622-10MM;N.D;MCI;STE MCI;History;Original History;01/06/2018;50
BIAD622-300MM;N.D;MCI;STE MCI;History;Original History;01/06/2018;11
BIAD622-50MM;N.D;MCI;STE MCI;History;Original History;01/06/2018;10
BIAD622-6MM;N.D;MCI;STE MCI;History;Original History;01/06/2018;188
BIAD622-8MM;N.D;MCI;STE MCI;History;Original History;01/06/2018;80
BIFIRM0.80;N.D;MCI;STE MCI;History;Original History;01/06/2018;36.25
BIPLAST05/100V;N.D;MCI;STE MCI;History;Original History;01/06/2018;152.6
CAR-CRES-15MM;N.D;MCI;STE MCI;History;Original History;01/06/2018;52
CF1000;N.D;MCI;STE MCI;History;Original History;01/06/2018;1
CNW50G90X300B;N.D;MCI;STE MCI;History;Original History;01/06/2018;1500
CNW50G90X300N;N.D;MCI;STE MCI;History;Original History;01/06/2018;300
CP-PF151;N.D;MCI;STE MCI;History;Original History;01/06/2018;4
CP-PF490TR;N.D;MCI;STE MCI;History;Original History;01/06/2018;1
CP-PF591;N.D;MCI;STE MCI;History;Original History;01/06/2018;3
CRAYON-150;N.D;MCI;STE MCI;History;Original History;01/06/2018;108
CREPE;N.D;MCI;STE MCI;History;Original History;01/06/2018;1
DA0069005814;N.D;MCI;STE MCI;History;Original History;01/06/2018;1
DA0265000790;N.D;MCI;STE MCI;History;Original History;01/06/2018;5
DA0467220723;N.D;MCI;STE MCI;History;Original History;01/06/2018;30
DA0888200050;N.D;MCI;STE MCI;History;Original History;01/06/2018;2
DA0888201060;N.D;MCI;STE MCI;History;Original History;01/06/2018;1
DA0888350010;N.D;MCI;STE MCI;History;Original History;01/06/2018;1
DA0888350020;N.D;MCI;STE MCI;History;Original History;01/06/2018;1
DA0888350070;N.D;MCI;STE MCI;History;Original History;01/06/2018;1
DB-K5/60SES;N.D;MCI;STE MCI;History;Original History;01/06/2018;100
DESMODUR-RC;N.D;MCI;STE MCI;History;Original History;01/06/2018;1
DS-66M-220V;N.D;MCI;STE MCI;History;Original History;01/06/2018;36
DSH-PF490-A;N.D;MCI;STE MCI;History;Original History;01/06/2018;4
DSH-PF490TR;N.D;MCI;STE MCI;History;Original History;01/06/2018;9
DSH-PF591;N.D;MCI;STE MCI;History;Original History;01/06/2018;3
E-5135;N.D;MCI;STE MCI;History;Original History;01/06/2018;17
E-5165;N.D;MCI;STE MCI;History;Original History;01/06/2018;1
EVA.F3MMB;N.D;MCI;STE MCI;History;Original History;01/06/2018;20
EVA.F3MMN;N.D;MCI;STE MCI;History;Original History;01/06/2018;260
F532-10650/2;N.D;MCI;STE MCI;History;Original History;01/06/2018;6
G400-35X350X15;N.D;MCI;STE MCI;History;Original History;01/06/2018;5
GP020-100CM;N.D;MCI;STE MCI;History;Original History;01/06/2018;162.5
GP020-5CM;N.D;MCI;STE MCI;History;Original History;01/06/2018;4
GP020-7.5CM;N.D;MCI;STE MCI;History;Original History;01/06/2018;4
GP2-71;N.D;MCI;STE MCI;History;Original History;01/06/2018;30
H900X450X50B;N.D;MCI;STE MCI;History;Original History;01/06/2018;9
H900X450X50NL;N.D;MCI;STE MCI;History;Original History;01/06/2018;2
H900X450X50SB;N.D;MCI;STE MCI;History;Original History;01/06/2018;26
H900X450X50SV;N.D;MCI;STE MCI;History;Original History;01/06/2018;7
HPF490A5TR+BC;N.D;MCI;STE MCI;History;Original History;01/06/2018;3
IA15C20G;N.D;MCI;STE MCI;History;Original History;01/06/2018;2
JM056;N.D;MCI;STE MCI;History;Original History;01/06/2018;3
L-300;N.D;MCI;STE MCI;History;Original History;01/06/2018;270
L37/58/30108;N.D;MCI;STE MCI;History;Original History;01/06/2018;275
L37/65/30108;N.D;MCI;STE MCI;History;Original History;01/06/2018;250
LA2065X40X0.4;N.D;MCI;STE MCI;History;Original History;01/06/2018;2
LA2790X50X0.6;N.D;MCI;STE MCI;History;Original History;01/06/2018;11
LA3690X50X0.8;N.D;MCI;STE MCI;History;Original History;01/06/2018;3
LP2971LH-NP-AUT;N.D;MCI;STE MCI;History;Original History;01/06/2018;1
LP8971-I-AUT;N.D;MCI;STE MCI;History;Original History;01/06/2018;1
LPP-3;N.D;MCI;STE MCI;History;Original History;01/06/2018;25
LPP-5;N.D;MCI;STE MCI;History;Original History;01/06/2018;300
LPP-9;N.D;MCI;STE MCI;History;Original History;01/06/2018;210
LUSTAFILTM4100;N.D;MCI;STE MCI;History;Original History;01/06/2018;2
LUSTAFILTM4129;N.D;MCI;STE MCI;History;Original History;01/06/2018;3
LUSTAFILTM4138;N.D;MCI;STE MCI;History;Original History;01/06/2018;3.3
LUSTAFILTM4182;N.D;MCI;STE MCI;History;Original History;01/06/2018;2
MA112112;N.D;MCI;STE MCI;History;Original History;01/06/2018;4
MA112176;N.D;MCI;STE MCI;History;Original History;01/06/2018;1
MA112709;N.D;MCI;STE MCI;History;Original History;01/06/2018;1
MA119574;N.D;MCI;STE MCI;History;Original History;01/06/2018;2
MA401548;N.D;MCI;STE MCI;History;Original History;01/06/2018;2
ME10A2101;N.D;MCI;STE MCI;History;Original History;01/06/2018;10
MF100027;N.D;MCI;STE MCI;History;Original History;01/06/2018;4
MF100068;N.D;MCI;STE MCI;History;Original History;01/06/2018;1
MF2035;N.D;MCI;STE MCI;History;Original History;01/06/2018;21
MF2036;N.D;MCI;STE MCI;History;Original History;01/06/2018;4
MF300686;N.D;MCI;STE MCI;History;Original History;01/06/2018;3
MF300954;N.D;MCI;STE MCI;History;Original History;01/06/2018;4
MF30C174-2500;N.D;MCI;STE MCI;History;Original History;01/06/2018;8
MF30C177-2500;N.D;MCI;STE MCI;History;Original History;01/06/2018;23
MF30C5-2500;N.D;MCI;STE MCI;History;Original History;01/06/2018;23
MF30C509-2500;N.D;MCI;STE MCI;History;Original History;01/06/2018;8
MF30C9-1KG;N.D;MCI;STE MCI;History;Original History;01/06/2018;6
MF40C00-3000;N.D;MCI;STE MCI;History;Original History;01/06/2018;24
MF40C09-3000;N.D;MCI;STE MCI;History;Original History;01/06/2018;16
MF40C16-3000;N.D;MCI;STE MCI;History;Original History;01/06/2018;8
MF40C177-3000;N.D;MCI;STE MCI;History;Original History;01/06/2018;24
MF40C3-3000;N.D;MCI;STE MCI;History;Original History;01/06/2018;40
MF40C390-3000;N.D;MCI;STE MCI;History;Original History;01/06/2018;8
MF40C5-3000;N.D;MCI;STE MCI;History;Original History;01/06/2018;8
MF40C509-3000;N.D;MCI;STE MCI;History;Original History;01/06/2018;8
MF40C511-3000;N.D;MCI;STE MCI;History;Original History;01/06/2018;16
MF40C5340-10M;N.D;MCI;STE MCI;History;Original History;01/06/2018;120
MF40C5500-3000;N.D;MCI;STE MCI;History;Original History;01/06/2018;28
MF40C59-3000;N.D;MCI;STE MCI;History;Original History;01/06/2018;112
MF40C6413-3000;N.D;MCI;STE MCI;History;Original History;01/06/2018;8
MF40C6418-3000;N.D;MCI;STE MCI;History;Original History;01/06/2018;8
MF40C75-3000;N.D;MCI;STE MCI;History;Original History;01/06/2018;16
MF40C834-3000;N.D;MCI;STE MCI;History;Original History;01/06/2018;15
MF40C9-3000;N.D;MCI;STE MCI;History;Original History;01/06/2018;168
MF60C00-5000;N.D;MCI;STE MCI;History;Original History;01/06/2018;8
MF60C0036-5000;N.D;MCI;STE MCI;History;Original History;01/06/2018;8
MF60C012-5000;N.D;MCI;STE MCI;History;Original History;01/06/2018;8
MF60C5-5000;N.D;MCI;STE MCI;History;Original History;01/06/2018;24
MF60C6413-5000;N.D;MCI;STE MCI;History;Original History;01/06/2018;16
MF60C6415-5000;N.D;MCI;STE MCI;History;Original History;01/06/2018;24
MF60C811-5000;N.D;MCI;STE MCI;History;Original History;01/06/2018;8
MF60C834-5000;N.D;MCI;STE MCI;History;Original History;01/06/2018;80
MF60C835-5000;N.D;MCI;STE MCI;History;Original History;01/06/2018;24
MF60C9-5000;N.D;MCI;STE MCI;History;Original History;01/06/2018;8
MF801062;N.D;MCI;STE MCI;History;Original History;01/06/2018;4
MF80C5340-25M;N.D;MCI;STE MCI;History;Original History;01/06/2018;48
MICRO.SP0.5;N.D;MCI;STE MCI;History;Original History;01/06/2018;217.5
MO1MMD67AD;N.D;MCI;STE MCI;History;Original History;01/06/2018;75
MO2-6100033;N.D;MCI;STE MCI;History;Original History;01/06/2018;2
MO2MMD30AD;N.D;MCI;STE MCI;History;Original History;01/06/2018;112.5
MO3MMD30AD;N.D;MCI;STE MCI;History;Original History;01/06/2018;75
MS01A0329;N.D;MCI;STE MCI;History;Original History;01/06/2018;20
MS01A0611;N.D;MCI;STE MCI;History;Original History;01/06/2018;5
MT24202;N.D;MCI;STE MCI;History;Original History;01/06/2018;100
N655/2000;N.D;MCI;STE MCI;History;Original History;01/06/2018;2460
N658-T;N.D;MCI;STE MCI;History;Original History;01/06/2018;1020
N800040367;N.D;MCI;STE MCI;History;Original History;01/06/2018;5
N800075006;N.D;MCI;STE MCI;History;Original History;01/06/2018;20
NL100-ROLL;N.D;MCI;STE MCI;History;Original History;01/06/2018;1
NL150-ROLL;N.D;MCI;STE MCI;History;Original History;01/06/2018;1
NP40G70BL/RE;N.D;MCI;STE MCI;History;Original History;01/06/2018;3000
NP40G90BL/RE;N.D;MCI;STE MCI;History;Original History;01/06/2018;12600
NP50G70BL/505AD;N.D;MCI;STE MCI;History;Original History;01/06/2018;600
NP50G90BL/505AD;N.D;MCI;STE MCI;History;Original History;01/06/2018;750
NYL658-12MMB;N.D;MCI;STE MCI;History;Original History;01/06/2018;1
NYL658-12MMN;N.D;MCI;STE MCI;History;Original History;01/06/2018;1
O367225043;N.D;MCI;STE MCI;History;Original History;01/06/2018;10
O367225053;N.D;MCI;STE MCI;History;Original History;01/06/2018;25
O467220013;N.D;MCI;STE MCI;History;Original History;01/06/2018;10
O467220043;N.D;MCI;STE MCI;History;Original History;01/06/2018;25
OBS000070120;N.D;MCI;STE MCI;History;Original History;01/06/2018;90
OL-ASB-10;N.D;MCI;STE MCI;History;Original History;01/06/2018;1000
P1.2MM-R-C/300;N.D;MCI;STE MCI;History;Original History;01/06/2018;1
P463;N.D;MCI;STE MCI;History;Original History;01/06/2018;525
PATTEX5GR;N.D;MCI;STE MCI;History;Original History;01/06/2018;25
PB200;N.D;MCI;STE MCI;History;Original History;01/06/2018;10
PES40-3250-308;N.D;MCI;STE MCI;History;Original History;01/06/2018;17
PES40-3250N;N.D;MCI;STE MCI;History;Original History;01/06/2018;48
PES60-5000-326;N.D;MCI;STE MCI;History;Original History;01/06/2018;16
PFF0001;N.D;MCI;STE MCI;History;Original History;01/06/2018;30
PT110F36/1OW;N.D;MCI;STE MCI;History;Original History;01/06/2018;203.36
PT110F36/1RW;N.D;MCI;STE MCI;History;Original History;01/06/2018;203.43
PT50F36/1OW;N.D;MCI;STE MCI;History;Original History;01/06/2018;104.84
PT78F36/1OW;N.D;MCI;STE MCI;History;Original History;01/06/2018;104.27
PT78F36/1RW;N.D;MCI;STE MCI;History;Original History;01/06/2018;207.02
PX-5203;N.D;MCI;STE MCI;History;Original History;01/06/2018;1
R-ARDMEL;N.D;MCI;STE MCI;History;Original History;01/06/2018;3
R07401;N.D;MCI;STE MCI;History;Original History;01/06/2018;5
R110X74MM;N.D;MCI;STE MCI;History;Original History;01/06/2018;15
REMISE;N.D;MCI;STE MCI;History;Original History;01/06/2018;1
REPARATION;N.D;MCI;STE MCI;History;Original History;01/06/2018;12
RMOLA2;N.D;MCI;STE MCI;History;Original History;01/06/2018;3
RT/F30B;N.D;MCI;STE MCI;History;Original History;01/06/2018;72
RT/F62N;N.D;MCI;STE MCI;History;Original History;01/06/2018;25
RUB50X1.5X1.5;N.D;MCI;STE MCI;History;Original History;01/06/2018;20
S-KMR-N-0.60MM;N.D;MCI;STE MCI;History;Original History;01/06/2018;75
S-KMR-S-0.40MM;N.D;MCI;STE MCI;History;Original History;01/06/2018;750
S-KMR-S-0.60MM;N.D;MCI;STE MCI;History;Original History;01/06/2018;300
S-KMR-S-0.80MM;N.D;MCI;STE MCI;History;Original History;01/06/2018;150
S505;N.D;MCI;STE MCI;History;Original History;01/06/2018;20
SB-145;N.D;MCI;STE MCI;History;Original History;01/06/2018;10
SB60GR24X200B;N.D;MCI;STE MCI;History;Original History;01/06/2018;450
SB60GR30X200B;N.D;MCI;STE MCI;History;Original History;01/06/2018;225
SC181;N.D;MCI;STE MCI;History;Original History;01/06/2018;10
SH181;N.D;MCI;STE MCI;History;Original History;01/06/2018;10
SOL_HAL;N.D;MCI;STE MCI;History;Original History;01/06/2018;50
SP600-ROLL;N.D;MCI;STE MCI;History;Original History;01/06/2018;1
SP699-ROLL;N.D;MCI;STE MCI;History;Original History;01/06/2018;2
SQ01;N.D;MCI;STE MCI;History;Original History;01/06/2018;33
SQ29;N.D;MCI;STE MCI;History;Original History;01/06/2018;2
SR02;N.D;MCI;STE MCI;History;Original History;01/06/2018;3
SR38;N.D;MCI;STE MCI;History;Original History;01/06/2018;2
SRP-G;N.D;MCI;STE MCI;History;Original History;01/06/2018;900
ST16;N.D;MCI;STE MCI;History;Original History;01/06/2018;21
STR187.0004;N.D;MCI;STE MCI;History;Original History;01/06/2018;2
SU14;N.D;MCI;STE MCI;History;Original History;01/06/2018;1
SU16;N.D;MCI;STE MCI;History;Original History;01/06/2018;21
SU17;N.D;MCI;STE MCI;History;Original History;01/06/2018;10
SX110.C;N.D;MCI;STE MCI;History;Original History;01/06/2018;2
SX22;N.D;MCI;STE MCI;History;Original History;01/06/2018;45
SX25;N.D;MCI;STE MCI;History;Original History;01/06/2018;4
SY01;N.D;MCI;STE MCI;History;Original History;01/06/2018;6
SY31;N.D;MCI;STE MCI;History;Original History;01/06/2018;9
SZ22;N.D;MCI;STE MCI;History;Original History;01/06/2018;2
T437-1.50;N.D;MCI;STE MCI;History;Original History;01/06/2018;100.5
T480-2.00;N.D;MCI;STE MCI;History;Original History;01/06/2018;201
T484-0.55-BLANC;N.D;MCI;STE MCI;History;Original History;01/06/2018;201
T484-0.55-NOI;N.D;MCI;STE MCI;History;Original History;01/06/2018;45
T484-0.55-SAHARA;N.D;MCI;STE MCI;History;Original History;01/06/2018;546
T484-0.55-STONE;N.D;MCI;STE MCI;History;Original History;01/06/2018;45
T696-1.75;N.D;MCI;STE MCI;History;Original History;01/06/2018;60
T696-2.00;N.D;MCI;STE MCI;History;Original History;01/06/2018;100.5
TAGS-15MM;N.D;MCI;STE MCI;History;Original History;01/06/2018;1
TC800;N.D;MCI;STE MCI;History;Original History;01/06/2018;15
TC801-WK;N.D;MCI;STE MCI;History;Original History;01/06/2018;2
TF50M;N.D;MCI;STE MCI;History;Original History;01/06/2018;150
TNT100BAD;N.D;MCI;STE MCI;History;Original History;01/06/2018;150
TNT100NAD;N.D;MCI;STE MCI;History;Original History;01/06/2018;225
TNT70GRX200;N.D;MCI;STE MCI;History;Original History;01/06/2018;200
WAX;N.D;MCI;STE MCI;History;Original History;01/06/2018;25
WL26+24G70X200N;N.D;MCI;STE MCI;History;Original History;01/06/2018;200
YH-11S;N.D;MCI;STE MCI;History;Original History;01/06/2018;1
YH-202;N.D;MCI;STE MCI;History;Original History;01/06/2018;10
Z-27/880/100;N.D;MCI;STE MCI;History;Original History;01/06/2018;1600
Z-880-205;N.D;MCI;STE MCI;History;Original History;01/06/2018;100
ZS-51_1.4RD_K120;N.D;MCI;STE MCI;History;Original History;01/06/2018;4
1050000001;N.D;MCI;STE MCI;History;Original History;01/05/2018;35
025CA;N.D;MCI;STE MCI;History;Original History;01/05/2018;2
0339-1269-5913A;N.D;MCI;STE MCI;History;Original History;01/05/2018;5
04434-00020-00;N.D;MCI;STE MCI;History;Original History;01/05/2018;4
110-0/311;N.D;MCI;STE MCI;History;Original History;01/05/2018;300
